VALIDERT	LIMS_OPPDRAGSNR	PROSJEKTNAVN	PRAVENR	PRAVEMERKING	STASJON	Lokasjon	Plass	Havdyp	DATE	METODEKODE	ANALYSE	KOMPONENT	STANDARD	RESULTAT	ENHETER	AKKREDITERING	UNDERLEVERANDR_STANDARD	Sample type	DYP	ART	VEV	Sampling_date
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CCPCA	Intern metode	<0.5	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	BCCPCA	Intern metode	9.00	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Tralopyril	Intern metode	10.50	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Diflubenzuron	Intern metode	<0.2	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Teflubenzuron	Intern metode	<0.1	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Emamectin	Intern metode	0.47	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	B	1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Copper pyrithione	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Aluminium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	50.40	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Arsenic	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.5	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Nickel	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	5.40	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Potassium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	54.50	mg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Vanadium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	0.22	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Silver	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.04	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Magnesium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	179	mg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Cobalt	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.1	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Cadmium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.06	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Lead	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	3.10	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Grunnpris	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	Utf?rt	-	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Zinc	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	5.60	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Manganese	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	2.82	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Chromium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.5	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Copper	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.8	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Iron	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<40.0	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	PFAS	TFA	Intern metode	138	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Zinc pyrithione	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CFPCN	Intern metode	<0.5	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	ACBE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CHPAPE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	ACCA	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CDHFPCN	Intern metode	<0.5	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CHFPCN	Intern metode	<0.5	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CCEFPE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CCPCA	Intern metode	<0.5	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	BCCPCA	Intern metode	5.70	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Tralopyril	Intern metode	1.17	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Diflubenzuron	Intern metode	<0.2	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Teflubenzuron	Intern metode	<0.1	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Emamectin	Intern metode	<0.1	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00132	Blom St. 2 	Scr24_B2	B	2	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Copper pyrithione	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Vanadium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	0.20	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Aluminium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	52.70	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Nickel	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.8	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Potassium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	51.30	mg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Silver	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.04	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Magnesium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	174	mg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Cobalt	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.1	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Cadmium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.06	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Lead	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	2.68	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Manganese	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	3.00	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Grunnpris	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	Utf?rt	-	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Zinc	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	3.30	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Chromium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.5	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Copper	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.8	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Iron	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<40.0	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Arsenic	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.5	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	PFAS	TFA	Intern metode	137	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Zinc pyrithione	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CFPCN	Intern metode	0.79	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	ACBE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CHPAPE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	ACCA	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00133	Blom St 3 	Scr24_B3	B	3	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CDHFPCN	Intern metode	<0.5	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
