LIMS Nr	Matrix	Stasjonskode	Stasjonsnummer	Sample name	No	Wet weight_g	Dry weight_g	TS_%	water (ml)	SLM/ MPL 20	TFA/MPL 1	Diflubenzuron	Teflubenzuron	Hexaflu	Emamectin	Tralopyril	TFA	BCCPCA	CCPCA	TR1	CHFPCN	CDHFPCN	TR2	TR3	TR4	CFPCN	TR5	CuPT	Zn	Cu
NR-2025-00185	Sediment	F	1	Toska 1 	28	5.26	2.73	51.9	2.5	7.3	0.40	<0.2	0.28	<0.1	<0.05	5.7	0.31	<1	<1	SUSND	0.1	SUSND	SUSND	SUSND	SUSND	1.4	SUSND	<1000	73	14
NR-2025-00186	Sediment	F	2	Toska S 2	29	5.03	1.67	33.2	3.4	12.0	0.30	<0.2	3.21	<0.1	<0.05	8.7	0.34	4.2	<1	SUSND	0.3	SUSND	SUSND	SUSND	SUSND	3.4	SUSND	<1000	104	28
NR-2025-00187	Sediment	F	3	Toska S 3	30	5.11	1.42	27.8	3.7	14.1	0.27	<0.2	6.58	<0.1	<0.05	17.7	0.26	3.0	3.1	SUSND	0.3	SUSND	SUSND	SUSND	SUSND	21	SUSND	<1000	123	32
NR-2025-00188	Sediment	F	4	Toska S 4	31	5.53	2.52	45.6	3.0	7.9	0.33	<0.2	1.73	<0.1	<0.05	11	0.74	4.5	<1	SUSND	0.5	SUSND	SUSND	SUSND	SUSND	6.1	SUSND	<1000	66	17
NR-2025-00189	Sediment	F	5	Toska S 5	32	5.37	2.71	50.5	2.7	7.4	0.38	<0.2	1.34	<0.1	<0.05	16.4	1.52	1.5	<1	SUSND	0.6	SUSND	SUSND	SUSND	SUSND	5.3	SUSND	<1000	46	13
NR-2025-00190	Sediment	F	6	Toska S 6	33	5.31	2.96	55.7	2.4	6.8	0.43	<0.2	0.51	<0.1	<0.05	6.7	0.47	<1	<1	SUSND	0.3	SUSND	SUSND	SUSND	SUSND	2.3	SUSND	<1000	29	7
NR-2025-00131	Water	B	1	Blom St. 1 						100		<0.2	<0.1	<0.1	0.47	10.47	122	9.0	<0.5	SUSND	0.16	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00132	Water	B	2	Blom St. 2 						100		<0.2	<0.1	<0.1	<0.1	1.17	138	5.7	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00133	Water	B	3	Blom St 3 						100		<0.2	<0.1	<0.1	<0.1	14.03	137	9.8	<0.5	SUSND	0.15	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00134	Water	B	4	Blom St.4 						100		<0.2	<0.1	<0.1	0.29	1.80	134	11.4	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00135	Water	B	5	Blom St. 5						100		<0.2	<0.1	<0.1	<0.1	1.96	120	7.8	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00136	Water	B	6	Blom St.6						100		<0.2	<0.1	<0.1	<0.1	1.42	123	6.4	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00137	Water	C	1	Otterholmen 1 (C1)						100		<0.2	<0.1	<0.1	1.03	0.79	134	31.7	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00138	Water	C	2	Otterholmen 2 (C2)						100		<0.2	<0.1	<0.1	1.04	0.72	179	38.1	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00139	Water	C	3	Otterholmen 3 (NY C3)						100		<0.2	<0.1	<0.1	0.29	0.54	187	20.0	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00140	Water	C	4	Otterholmen 4 (C4)						100		<0.2	<0.1	<0.1	<0.1	0.83	195	11.5	<0.5	SUSND	0.14	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00141	Water	C	5	Otterholmen 5 (C5)						100		<0.2	<0.1	<0.1	<0.1	0.98	186	39.5	<0.5	SUSND	0.1	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00142	Water	C	6	Otterholmen 6 (C6) 						100		<0.2	<0.1	<0.1	1.08	<0.1	195	10.6	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00143	Water	D	1	M?renot E1						100		<0.2	<0.1	<0.1	<0.1	0.51	168	14.5	<0.5	SUSND	0.17	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00144	Water	D	2	M?tenot E2						100		<0.2	<0.1	<0.1	0.11	0.45	169	7.8	<0.5	SUSND	0.17	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00145	Water	D	3	M?renot E3						100		<0.2	<0.1	<0.1	0.28	0.65	175	14.8	<0.5	SUSND	0.19	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00146	Water	E	1	Vikane C1 						100		<0.2	<0.1	<0.1	<0.1	0.24	141	3.5	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00147	Water	E	2	Vikane C2						100		<0.2	<0.1	<0.1	0.24	0.20	187	4.6	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00148	Water	E	3	Vikane C3						100		<0.2	<0.1	<0.1	0.31	0.26	161	5.3	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00149	Water	E	4	Vikane NY C4						100		<0.2	<0.1	<0.1	0.11	0.79	177	3.4	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00150	Water	E	5	Vikane C5 						100		<0.2	<0.1	<0.1	<0.1	0.27	172	3.1	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00151	Water	E	6_ref	Vikane ref 						100		<0.2	<0.1	<0.1	<0.1	4.10	188	5.0	<0.5	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00152	Water	F	1	Toska S 1						100		<0.2	<0.1	<0.1	<0.1	0.37	177	12.0	<0.5	SUSND	0.14	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00153	Water	F	2	Toska S 2						100		<0.2	<0.1	<0.1	<0.1	0.31	168	18.0	<0.5	SUSND	0.14	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00154	Water	F	3	Toska S 3						100		<0.2	<0.1	<0.1	<0.1	1.69	151	22.6	<0.5	SUSND	0.27	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00155	Water	F	4	Toska S 4						100		<0.2	<0.1	<0.1	<0.1	0.55	136	21.9	<0.5	SUSND	0.14	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00156	Water	F	5	Toska S 5						100		<0.2	<0.1	<0.1	<0.1	<0.1	154	<0.5	<0.5	SUSND	0.09	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00157	Water	F	6	Toska S 6						100		<0.2	<0.1	<0.1	0.36	<0.1	128	<0.5	<0.5	SUSND	0.12	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	<50		
NR-2025-00224	Fish_gills	A	7	Stolane Gjeller	13	2.45				8.2	0.8	<0.1	<0.1	<0.1	0.17	1.3	5.64	<1	<1	SUSND	0.7	SUSND	SUSND	SUSND	SUSND	2.7	SUSND	<1000		
NR-2025-00225	Fish_gills	B	7	Blom Gjeller	14	1.99				10.1	1.0	<0.1	<0.1	<0.1	<0.05	6.1	12.5	1.01	<1	SUSND	6.4	SUSND	SUSND	SUSND	SUSND	20.9	SUSND	<1000		
NR-2025-00226	Fish_gills	C	7	Otterholmen Gjeller 	15	1.92				10.4	1.0	<0.1	<0.1	<0.1	<0.05	41.9	19.9	<1	<1	SUSND	3.1	SUSND	SUSND	SUSND	SUSND	21.4	SUSND	<1000		
NR-2025-00227	Fish_gills	E	7	Vikane Gjeller	16	2.14				9.3	0.9	<0.1	<0.1	<0.1	<0.05	8.8	13.0	<1	<1	SUSND	2.6	SUSND	SUSND	SUSND	SUSND	16.3	SUSND	<1000		
NR-2025-00228	Fish_gills	F	7	Toska Gjeller	17	1.96				10.2	1.0	<0.1	<0.1	<0.1	<0.05	2.3	4.39	<1	<1	SUSND	3.3	SUSND	SUSND	SUSND	SUSND	5.8	SUSND	<1000		
NR-2025-00229	Fish_liver	A	7	Stolane Lever	18	1.25				16.0	1.6	<0.1	<0.1	<0.1	3.59	0.7	4.67	3.8	<1	SUSND	5	SUSND	SUSND	SUSND	SUSND	2.7	SUSND	<1000		
NR-2025-00230	Fish_liver	B	7	Blom Lever	19	1.08				18.5	1.9	<0.1	<0.1	<0.1	<0.05	1.6	3.88	1.13	<1	SUSND	39.3	SUSND	SUSND	SUSND	SUSND	43.8	SUSND	<1000		
NR-2025-00231	Fish_liver	C	7	Otterkolmen Lever 	20	1.16				17.2	1.7	<0.1	<0.1	<0.1	0.08	1.4	6.96	2.33	<1	SUSND	22.6	SUSND	SUSND	SUSND	SUSND	18.1	SUSND	<1000		
NR-2025-00232	Fish_liver	E	7	Vikane Lever 	21	1.29				15.5	1.6	<0.1	<0.1	<0.1	<0.05	0.7	7.44	1.85	<1	SUSND	16.5	SUSND	SUSND	SUSND	SUSND	12.3	SUSND	<1000		
NR-2025-00233	Fish_liver	F	7	Toska S Lever 	22	1.09				18.3	1.8	<0.1	<0.1	<0.1	<0.05	0.1	2.97	3.28	<1	SUSND	78.4	SUSND	SUSND	SUSND	SUSND	7.4	SUSND	<1000		
NR-2025-00197	Benthic animals	B	1	Blom St. 1  F	1	1.11	0.16			18.0	1.8	<0.1	<0.1	<0.1	0.24	27827	3.31	1.83	<1	SUSND	4.2	SUSND	SUSND	SUSND	SUSND	4.6	SUSND	<1000		
NR-2025-00198	Benthic animals	B	2	Blom St. C2	2	2.63				7.6	0.8	<0.1	<0.1	<0.1	<0.05	7.4	3.85	12.4	17.4	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	11.8	SUSND	<1000		
NR-2025-00203	Benthic animals	C	1	Otterholmen 1 (C1)	3	1.96	0.28			10.2	1.0	<0.1	0.36	<0.1	0.47	66832	13.3	1.8	<1	SUSND	11.2	SUSND	SUSND	SUSND	SUSND	186	SUSND	<1000		
NR-2025-00206	Benthic animals	C	4	Otterholmen 4 (C4)	4	2.53				7.9	0.8	<0.1	<0.1	<0.1	<0.05	16.6	2.36	7.2	1	SUSND	2.3	SUSND	SUSND	SUSND	SUSND	3.9	SUSND	<1000		
NR-2025-00207	Benthic animals	C	5	Otterholmen 5 (C5)	5	1.92				10.4	1.0	<0.1	0.24	<0.1	<0.05	7.4	12.5	2.2	<1	SUSND	2.7	SUSND	SUSND	SUSND	SUSND	3.7	SUSND	<1000		
NR-2025-00211	Benthic animals	D	3	M?renot E3	8	0.63				31.7	3.2	<0.1	<0.1	<0.1	<0.05	39.0	0.99	12	4.1	SUSND	0.9	SUSND	SUSND	SUSND	SUSND	81.2	SUSND	<1000		
NR-2025-00212	Benthic animals	E	1	Vikane C1 dyr	9	2.46				8.1	0.8	2.41	<0.1	<0.1	0.07	22.7	21.2	<1	<1	SUSND	0.2	SUSND	SUSND	SUSND	SUSND	11.5	SUSND	<1000		
NR-2025-00213	Benthic animals	E	2	Vikane C2 dyr 	10	1.5				13.3	1.3	1.99	<0.1	<0.1	0.07	43.8	13.5	1.9	<1	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	9.1	SUSND	<1000		
NR-2025-00214	Benthic animals	E	3	Vikane C3 dyr 	11	2.03				9.9	1.0	6.64	2.05	<0.1	0.05	17.4	1.06	1.6	<1	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	4.6	SUSND	<1000		
NR-2025-00223	Benthic animals	F	6	Toska S 6	12	2.98				6.7	0.7	<0.1	<0.1	<0.1	<0.05	7.9	14.4	2.5	5.4	SUSND	SUSND	SUSND	SUSND	SUSND	SUSND	7.7	SUSND	<1000		
